Site,Group\, Formation\, or Unit,Age,Continent,Country,Noteworthiness,Latitude,Longitude
Fossil Grove,Limestone Coal Formation,Carboniferous,Europe,Scotland: Glasgow,Plants,55.8767,-4.3382
,Fur Formation,Eocene,Europe,Denmark,,56.837778,8.961944
,Gram Formation,Miocene,Europe,Denmark,,55.3,9.1
,Gauja Formation,Devonian,Europe,Estonia and Latvia,,57.3,25.12
Geisel valley,,Eocene,Europe,Germany,,51.30777778,11.86916667
Gilwern Hill,,Ordovician,Europe,Wales,,52.2,-3.333333
Gotland,,Silurian,Europe,Sweden,,57.5,18.55
Grès à Reptiles,,Jurassic,Europe,France,Dinosaurs,43.5,5.5
Guimarota,,Jurassic,Europe,Portugal,Dinosaurs and mammals,39.7,-8.8
,Hampstead Formation,Oligocene,Europe,England,,51.5508,-0.1659
Jurassic Coast,,Triassic - Cretaceous,Europe,England,Ammonites and reptiles,50.70555556,-2.99
Kozarnika,,Pleistocene,Europe,Bulgaria,Hominin: Early human symbolic behavior,43.6517425,22.70241
Hušnjak hill,,Pleistocene,Europe,Croatia,,46.16,15.87
La Chapelle-aux-Saints,,Pleistocene,Europe,France,Hominin: Neanderthal burial,44.98333333,1.71666667
La Ferrassie,,Pleistocene,Europe,France,Hominin,44.95194444,0.93805556
Las Hoyas,,Cretaceous,Europe,Spain,Dinosaurs,40.0897,-1.8978
Lyme Regis,,Jurassic,Europe,England: Dorset,Jurassic Coast,50.725,-2.94
Maltravieso Cave,,Pleistocene,Europe,Spain,,39.4576,-6.3708
Mauer,,Pleistocene,Europe,Germany,Hominin,49.338889,8.798611
Messel Pit,Messel Oil Shale,Eocene,Europe,Germany,Geiseltalian flora and fauna,49.9175,8.7567
Monte Bolca,,Eocene,Europe,Italy,,45.59527778,11.21
Murero,,Cambrian,Europe,Spain,,41.16666667,-1.48333333
Kleine Feldhofer Grotte,,Pleistocene,Europe,Germany,Hominin,51.2275,6.945556
Pobiti Kamani,,Triassic - Cretaceous,Europe,Bulgaria,,43.22638889,27.70666667
Pontnewydd Cave,,Pleistocene,Europe,Wales,Hominin: Neanderthals,53.22694444,-3.47611111
Quercy Phosphorites,,Eocene - Oligocene,Europe,France,,44.3,1.6
Repedea Hill Fossil Site,,Miocene - Pleistocene,Europe,Romania,,47.08861111,27.64361111
Cozla Fossil Site,,Oligocene,Europe,Romania,,46.9442,26.3661
Rhynie\, Aberdeenshire,Rhynie Chert,Devonian,Europe,Scotland,Plants\, Cyanobacteria,57.3324,-2.8344
Riodeva,,Jurassic - Cretaceous,Europe,Spain,Dinosaurs,40.11666667,-1.15
,Sânpetru Formation,Cretaceous,Europe,Romania,,45.6,22.9
Sansan,,Miocene,Europe,France,Hominin: Pliopithecus,43.5314,0.6083
Slieve Anierin,,Carboniferous,Europe,Ireland,Goniatites\, and Bivalvia\, marine and coastal fauna,54.09259722,-7.9721
,Solnhofen limestone,Jurassic,Europe,Germany,,48.9,11.0
Stránská skála,Moravian Karst formation,Pleistocene,Europe,Czech Republic: Moravia,Marine and coastal fauna\, fishes\,  birds\, mammals,49.19056944,16.67573889
Turritellenplatte,,Miocene,Europe,Germany: Baden-Württemberg,Gastropods:sea snail Turritella turris,48.389,9.893
,Upper Valdarno,Pleistocene,Europe,Italy: Tuscany,,43.6802,10.2774
Donetsk,,Carboniferous,Europe,Ukraine,Plants,48.00277778,37.80527778
Razdolne,,Devonian,Europe,Ukraine,,46.76444444,33.39472222
Venta del Moro,,Miocene,Europe,Spain,,39.48333333,-1.35722222
Untermassfeld,,Pleistocene,Europe,Germany,Hominin,50.53305556,10.41666667
Alcoota,,Miocene,Oceania,Australia: Northern Territory,Marsupials\, birds and crocodiles,-22.861,134.41830556
Bluff Downs,Allingham Formation,Pliocene,Oceania,Australia: Queensland,wetland fauna,-19.683333,145.55
Bullock Creek,Camfield Fossil Beds,Miocene,Oceania,Australia: Northern Territory,Marsupials,-17.036,131.294
Canowindra-Gooloogong,,Devonian,Oceania,Australia: New South Wales,,-33.56666667,148.66666667
Cape Range National Park,,Miocene - Pleistocene,Oceania,Australia: Western Australia,Coral reefs\, marine and coastal fauna,-22.12333333,113.92055556
Cuddie Springs,,Pleistocene,Oceania,Australia: New South Wales,Megafauna/human interaction,-30.78694444,147.47805556
Curio Bay,,Jurassic,Oceania,New Zealand: Southland,Petrified forest,-46.66234444,169.09792222
Denmark Hill Insect Bed,,Triassic,Oceania,Australia: Ipswich\, Queensland,Insects,-27.6,152.8
Dinosaur Cove,,Cretaceous,Oceania,Australia: Victoria,Dinosaurs,-38.78,143.405
Dinosaur Dreaming,,Cretaceous,Oceania,Australia: Victoria,Mammals,-38.65611111,145.68611111
Ediacara Hills,,Precambrian,Oceania,Australia: South Australia,Ediacara biota (early multicellular life),-29.79752778,138.75613333
,Emu Bay Shale,Cambrian,Oceania,Australia: South Australia,,-35.583333,137.5
Foulden Maar,,Miocene,Oceania,New Zealand: Otago,,-45.5268,170.2184
Georgina Basin,,Precambrian – Permian,Oceania,Australia: Northern Territory\, Queensland,,-20.0,136.0
,Gogo Formation,Devonian,Oceania,Australia: Western Australia,,-18.3,126.5
Grenfell fossil site,Hunter Siltstone Formation,Devonian,Oceania,Australia: New South Wales,Fishes,-33.9,148.15
Lake Callabonna,,Pleistocene,Oceania,Australia: South Australia,Marsupials\, birds,-29.71666667,140.08333333
Lake Mungo,,Pleistocene,Oceania,Australia: New South Wales,Hominin,-33.75,143.083333
Lake Ngapakaldi to Lake Palankarinna Fossil Area,,Pliocene,Oceania,Australia: South Australia,Variety of vertebrates,-28.283333,138.283333
Lancefield Swamp,,Pleistocene,Oceania,Australia: Victoria,Australian megafauna\, mostly Macropus giganteus,-37.283833,144.723617
Lightning Ridge,,Cretaceous,Oceania,Australia: New South Wales,Mammals,-29.43333333,147.96666667
Mammoth Cave,,Pleistocene,Oceania,Australia: Western Australia,,-34.058056,115.030556
Murgon fossil site,,Eocene,Oceania,Australia: Queensland,Mammals,-26.23333333,151.95
Naracoorte Caves,,Pleistocene,Oceania,Australia: South Australia,Australian megafauna\, World Heritage List,-37.03611111,140.79763889
Pindai Caves,,Holocene,Oceania,New Caledonia,Hominin\, Birds,-21.35,164.96666667
Quanbun,,Miocene - Pliocene,Oceania,Australia: Western Australia,,-18.38611111,125.22611111
Riversleigh,,Oligocene - Miocene,Oceania,Australia: Queensland,,-19.033333,138.633333
Great Otway National Park,,Cretaceous,Oceania,Australia: Victoria,,-38.77333333,143.5575
Otway Basin,,Oligocene - Pliocene,Oceania,Australia: Victoria,,-38.85,143.516667
Tinguiririca,Abanico Formation,Oligocene,South America,Chile,,-34.65,-70.983333
,Allen Formation,Cretaceous,South America,Argentina,Dinosaurs\, pterosaurs\, and mammals,-40.0,-66.6
,Anacleto Formation,Cretaceous,South America,Argentina,Dinosaurs (eggs)\, mammals\, bird footprints,-37.9,-68.5
,Bajo de la Carpa Formation,Cretaceous,South America,Argentina,,-38.8,-68.8
,Bahía Inglesa Formation,Miocene - Pliocene,South America,Chile,,-27.19722222,-70.75833333
Bauru Basin,Bauru Group,Cretaceous,South America,Brazil,Dinosaurs,-19.7,-48.0
Candeleros Hill\, Neuquén Province,Candeleros Formation,Cretaceous,South America,Argentina,,-39.4,-69.2
Paleorrota,Caturrita Formation,Triassic,South America,Brazil: Rio Grande do Sul,,-29.695042,-53.795403
